"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"93.977","Sexually Transmitted Diseases (STD) Prevention and Control Grants","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.865, 93.260, 93.855, 93.217, 93.224, 93.856","Nov 15, 2024","Nov 15, 2024","true","Arin Williams
1600 Clifton Road, MS E-07, Atlanta GA 30029
4046398432
"
"93.787","Title V Sexual Risk Avoidance Education Program (Discretionary Grants)","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 15, 2024","Nov 15, 2024","true","Mousumi Banikya, Director
330 C Street, SW, Washington DC 20201
202-619-1066
"
"30.005","Employment Discrimination Private Bar Program","J - Provision of Specialized Services","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","","N/A","Nov 15, 2024","Nov 15, 2024","false","Diane Fredericks
131 M Street, NE, Washington DC 20507
1-800-669-4000 (voice)/1-800-669-6820 (TTY)/1-844-234-5122 (ASL Video Phone)
"
"93.978","Sexually Transmitted Diseases (STD) Provider Education Grants","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.977, 93.865, 93.260, 93.855, 93.217, 93.224, 93.856","Nov 15, 2024","Nov 15, 2024","true","Arin Williams
1600 Clifton Road, MS E-07, Atlanta GA 30329
4046398432
"
"93.981","Improving Student Health and Academic Achievement through Nutrition, Physical Activity and the Management of Chronic Conditions in Schools","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.945","Nov 15, 2024","Nov 15, 2024","true","Sheryl Heard
4770 Buford Hwy, NE, Atlanta GA 30341
7704882855
"
"93.988","Cooperative Agreements for Diabetes Control Programs","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283","Nov 15, 2024","Nov 15, 2024","true","Sheryl Heard
4770 Buford Highway,  NE, Atlanta GA 30341
7704882855
"
"93.991","Preventive Health and Health Services Block Grant","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Caroline Gardner
2400 Century Center Parkway
Mail Stop V-24-6, Atlanta GA 30345
4046394276
"
"93.314","Early Hearing Detection and Intervention Information System (EHDI-IS) Surveillance Program","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Shelia Jones
4770 Buford Highway
Mailstop E87, Atlanta GA 30341
404-498-3995
"
"32.010","Supply Chain Reimbursement Program","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","N/A","Nov 15, 2024","Nov 15, 2024","true","Federal Communications Commission, Wireline Competition Bureau, Telecommunications Access Policy Division
45 L Street NE, Washington DC 20554
2024187400
"
"32.008","Affordable Connectivity Program","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","N/A","Nov 15, 2024","Nov 15, 2024","false","Federal Communications Commission, Wireline Competition Bureau, Telecommunications Access Policy Division
45 L Street NE, Washington DC 20554
202-418-7400
"
"32.006","COVID-19 Telehealth Program","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","","N/A","Nov 15, 2024","Nov 15, 2024","false","Nathan Eagan
45 L ST NE, Washington DC 20554
202-418-7400
"
"32.005","UNIVERSAL SERVICE FUND - RURAL HEALTH CARE","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","","32.007","Nov 15, 2024","Nov 15, 2024","true","Bryan Boyle, Deputy Division Chief, TAPD
45 L Street NE, WASHINGTON DC 20554
202.418.7400
"
"32.004","UNIVERSAL SERVICE FUND - SCHOOLS and LIBRARIES","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","","N/A","Nov 15, 2024","Nov 15, 2024","true","Johnnay Schrieber, Deputy Division Chief, Telecommunications Access Policy Division, Wireline Competition Bureau
45 L Street, NE, Washington DC 20554
2024187400
"
"32.003","UNIVERSAL SERVICE FUND - LIFELINE","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","","N/A","Nov 15, 2024","Nov 15, 2024","true","JODIE GRIFFIN, DEPUTY CHIEF
445 12TH ST SW, WASHINGTON DC 20554
2024187400
"
"32.011","Affordable Connectivity Outreach Grant Program","B - Project Grants","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","N/A","Nov 15, 2024","Nov 15, 2024","false","Federal Communications Commission, Consumer and Governmental Affairs Bureau
45 L Street NE, Washington DC 20554
1-(888) 225 - 5322
"
"84.327","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.329, 84.326, 84.328, 84.173, 84.181, 84.325, 84.323, 84.324, 84.027, 84.373","Nov 15, 2024","Nov 15, 2024","true","Tina Diamond
Department of Education, Office of Special Education Programs, 400 Maryland Avenue, SW, Washington DC 20202
(202) 987-0147
"
"84.370","DC Opportunity Scholarship Program","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Beth Yeh
Office of Elementary and Secondary Education, 400 Maryland Ave., S.W., Washington DC 20202
(202) 205-5798
"
"12.025","Native American Consultation to Identify Sacred Sites and Traditional Cultural Properties","B - Cooperative Agreements","DEPT OF DEFENSE","DEPT OF THE ARMY","12.025","Nov 15, 2024","Nov 15, 2024","false","Karen Billick
600 Augur Avenue 
Bldg #22208, Fort Huachuca AZ 85613
5205331464
"
"45.312","National Leadership Grants","B - Project Grants (Discretionary)","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","45.311, 45.033, 45.032, 45.031, 45.313, 45.309, 45.310, 45.308, 45.301","Nov 15, 2024","Nov 15, 2024","true","Julit Balutis
955 L'Enfant Plaza North, SW
Suite 4000, Washington DC 20024
202-653-4645
"
"81.057","University Coal Research","B - Project Grants","ENERGY, DEPARTMENT OF","","81.089","Nov 15, 2024","Nov 15, 2024","false","Bhima Sastri
Department of Energy, Washington DC 20585
202-586-2561
"
"84.422","American History and Civics Education","B - Project Grants (Discretionary)","EDUCATION, DEPARTMENT OF","","N/A","Nov 15, 2024","Nov 15, 2024","true","Orman Feres
Department of Education, Office of Elementary and Secondary Education, 400 Maryland Avenue, SW,, Washington DC 20202-5960
(202) 453-6921
"
"20.505","Metropolitan Transportation Planning and State and Non-Metropolitan Planning and Research","A - Formula Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.500, 20.514, 20.507, 20.205","Nov 15, 2024","Nov 15, 2024","true","Reena Mathews
1200 New Jersey Avenue, SE, Washington DC 20590
(202) 366-2076
"
"20.618","Driver Alcohol Detection System for Safety","B - Cooperative Agreements (Discretionary Grants)","TRANSPORTATION, DEPARTMENT OF","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Anita Barber
1200 New Jersey Avenue, SE, W51-125, Washington DC 20590
2023663989
"
"84.047","TRIO Upward Bound","B - Project Grants","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","N/A","Nov 15, 2024","Nov 15, 2024","true","Sharon Easterling
Student Service Division, Office of Postsecondary Education, Department of Education,400 Maryland Ave., SW, Washington DC 20202
(202) 453-7624
"
"84.200","Graduate Assistance in Areas of National Need","B - Project Grants","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","N/A","Nov 15, 2024","Nov 15, 2024","true","Rebecca Ell
Teacher & Student Development Programs Service, Graduate Assistance in Areas of National Need Program, Office of Postsecondary Education, Department of Education, 400 Maryland Ave., SW, Washington DC 20202
202-453-6348
"
"84.066","TRIO Educational Opportunity Centers","B - Project Grants","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","84.044, 84.103, 84.042, 84.047, 84.217","Nov 15, 2024","Nov 15, 2024","true","Sharon Easterling
Student Service Division, Office of Postsecondary Education, Department of Education, 400 Maryland Ave., SW, Washington DC 20202
(202) 453-7425
"
"20.519","Clean Fuels","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.526, 20.505","Nov 15, 2024","Nov 15, 2024","false","Vanessa Williams 
1200 New Jersey Avenue, SE.
, Washington DC 20590
(202) 366-4818
"
"45.301","Museums for America","B - Project Grants","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","45.311, 45.033, 45.032, 45.313, 45.309, 45.310, 45.308, 45.312","Nov 15, 2024","Nov 15, 2024","true","Sandra Narva
955 L'Enfant Plaza North, SW Suite 4000, Washington DC 20024
202-653-4634
"
"84.305","Education Research, Development and Dissemination","B - Project Grants (Contracts)","EDUCATION, DEPARTMENT OF","INSTITUTE OF EDUCATION SCIENCES","84.324","Nov 15, 2024","Nov 15, 2024","true","Emily Doolittle,
Institute of Education Sciences, Department of Education, 550 12th Street, SW, Room 4118, Washington DC 20202
(202) 245-7833
"
"20.617","State Electronic Data Collection (SEDC) Program Grant","B - Cooperative Agreements (Discretionary Grants)","TRANSPORTATION, DEPARTMENT OF","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Anita Barber
1200 New Jersey Avenue, SE, W51-125, Washington DC 20590
2023663989
"
"12.017","Readiness and Environmental Protection Integration (REPI) Program","A - Formula Grants (Cooperative Agreements)","DEPT OF DEFENSE","WASHINGTON HEADQUARTERS SERVICES (WHS)","N/A","Nov 15, 2024","Nov 15, 2024","true","Kristin Thomasgard
Office of the Assistant Secretary of Defense for Sustainment,
4800 Mark Center Drive, Suite 16F18, Alexandria VA 22350
(571) 372-6835
"
"12.550","The Language Flagship Grants to Institutions of Higher Education","B - Cooperative Agreements","DEPT OF DEFENSE","DEFENSE HUMAN RESOURCES ACTIVITY","12.579, 12.357, 12.551, 12.357, 12.555, 12.552","Nov 15, 2024","Nov 15, 2024","true","Ed McDermott,
Suite 08 G 08
4800 Mark Center Dr., Alexandria VA 22350
571.256.0756
"
"16.065","Training to Improve Police-Based Responses to the People with Mental Illness","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 15, 2024","Nov 15, 2024","false","Deirda Assey
U.S. Department of Justice
Office of Justice Programs
999 North Capitol Street, NE, Washington DC 20531
202-598-7876
"
"84.044","TRIO Talent Search","B - Project Grants","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","84.103, 84.042, 84.047, 84.066, 84.217","Nov 15, 2024","Nov 15, 2024","true","Craig Pooler
Student Service Division, Office of Postsecondary Education, Department of Education, 400 Maryland Ave., SW, Washington DC 20202
(202) 453-6195
"
"45.032","21st Century Museum Professional Program","B - Project Grants (Discretionary)","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","45.033","Nov 15, 2024","Nov 15, 2024","true","Julie Balutis
955 L'Enfant Plaza North, SW
Suite 4000, Washington DC 20024
202-653-4645
"
"84.326","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.329, 84.328, 84.173, 84.181, 84.325, 84.323, 84.324, 84.027, 84.373, 84.327","Nov 15, 2024","Nov 15, 2024","true","Tina Diamond
Department of Education, Office of Special Education Programs, Room 5136, Potomac Center Plaza, 400 Maryland Ave., S.W., , Washington DC 20202
(202) 245-6674
"
"20.619","Motor Vehicle Safety Research","B - Cooperative Agreements (Discretionary Grants)","TRANSPORTATION, DEPARTMENT OF","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Anita Barber
1200 New Jersey Avenue, SE, W51-125, Washington DC 20590
2023663989
"
"45.033","Museum Grants for American Latino History and Culture","B - Project Grants (Discretionary)","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","45.032","Nov 15, 2024","Nov 15, 2024","true","Sandra Narva
955 L'Enfant Plaza North, SW; Suite 4000, Washington DC 20024
202-653-4634
"
"84.287","Twenty-First Century Community Learning Centers","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","N/A","Nov 15, 2024","Nov 15, 2024","true","La'Shawndra Scroggins
Office of Elementary and Secondary Education, Department of Education, 400 Maryland Ave., S.W., Washington DC 20202
(202) 453-6361
"
"11.041","U.S. and Foreign Commercial Service Pilot Fellowship Program","B - Project Grants (Fellowships)","COMMERCE, DEPARTMENT OF","INTERNATIONAL TRADE ADMINISTRATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Wendy Thompson
1401 CONSTITUTION AVE NW, Suite 1844, Washington DC 20230
202-754-4075
"
"84.373","Special Education Technical Assistance on State Data Collection","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.326, 84.328, 84.173, 84.181, 84.323, 84.324, 84.027, 84.327","Nov 15, 2024","Nov 15, 2024","true","David Egnor,
Department of Education, OSERS Office of Special Education Programs, 400 Maryland Ave., SW, Washington DC 20202
(202) 245-7334.
"
"45.031","American Latino Museum Internship and Fellowship Initiative","B - Project Grants","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","N/A","Nov 15, 2024","Nov 15, 2024","false","Sandra Narva
955 L'Enfant Plaza North, SW Suite 4000, Washington DC 20024
202-653-4634
"
"84.358","Rural Education","A - Formula Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Leslie Poynter
Office of Elementary and Secondary Education, Department of Education, 400 Maryland Avenue, S.W., Washington DC 20202
(202) 453-6041
"
"20.940","Reconnecting Communities Pilot (RCP) Discretionary Grant Program","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 15, 2024","Nov 15, 2024","false","Andrew Emanuele
1200 New Jersey Ave. SE, Washington DC 20590
2029483466
"
"45.313","Laura Bush 21st Century Librarian Program","B - Project Grants (Discretionary)","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","45.311, 45.031, 45.309, 45.310, 45.308, 45.312, 45.301","Nov 15, 2024","Nov 15, 2024","true","Julie Balutis
955 L'Enfant Plaza North, SW
Suite 4000, Washington DC 20024
202-653-4645
"
"84.351","Arts in Education","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Sharon Burton
Arts in Education Grants, Department of Education,  Office of Elementary and Secondary Education, 400 Maryland Avenue, S.W., Washington DC 20202
(202) 453-6569
"
"84.336","Teacher Quality Partnership Grants","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","84.325","Nov 15, 2024","Nov 15, 2024","true","Mia Howerton
Department of Education, Office of Innovation and Improvement, Teacher Quality Programs, 400 Maryland Avenue, S.W., Washington DC 20202
(202) 401-9501
"
"81.012","Artificial Intelligence and Technology Office Financial Assistance Program","B - Project Grants","ENERGY, DEPARTMENT OF","","N/A","Nov 15, 2024","Nov 15, 2024","false","Demitrous Blount
1000 Independence Ave. SW, Washington DC 20585
202-287-2486
"
"84.206","Javits Gifted and Talented Students Education","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","N/A","Nov 15, 2024","Nov 15, 2024","true","Mildred Horner-Smith
Department of Education, OESE, Jacob K. Javits Gifted and Talented Students Education, 400 Maryland Ave., S.W., Washington DC 20202
(202)453-6661
"
"81.250","Energy Policy and Systems Analysis","B - Cooperative Agreements (Discretionary Grants)","ENERGY, DEPARTMENT OF","","N/A","Nov 15, 2024","Nov 15, 2024","true","Shanta Chirino
1000 Independence Avenue, S.W., Washington DC 20585
240-477-3313
"
"11.619","Arrangements for Interdisciplinary Research Infrastructure","B - Cooperative Agreements","COMMERCE, DEPARTMENT OF","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","N/A","Nov 15, 2024","Nov 15, 2024","true","Jessica Strickler
100 Bureau Drive
, Gaithersburg MD 20899
3019758938
"
"45.309","Museum Grants for African American History and Culture","B - Project Grants","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","45.311, 45.031, 45.313, 45.310, 45.308, 45.312, 45.301","Nov 15, 2024","Nov 15, 2024","true","Sandra Narva
955 L'Enfant Plaza North, SW Suite 4000, Washington DC 20024
202-653-4634
"
"84.407","Transition Programs for Students with Intellectual Disabilities into Higher Education","B - Project Grants","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","84.333","Nov 15, 2024","Nov 15, 2024","true","Shedita Alston,
Department of Education, Office of Postsecondary Education, Transition Programs for Students with Intellectual Disabilities Into Higher Education, 400 Maryland Ave., S.W., Room 2819, Washington DC 20202
(202) 453-7090
"
"84.181","Special Education-Grants for Infants and Families","A - Formula Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","93.600, 84.173, 84.027","Nov 15, 2024","Nov 15, 2024","true","Gregg Corr
Division Director, Monitoring and State Improvement Planning, Office of Special Education Programs, Department of Education, 400 Maryland Avenue, SW, Washington DC 20202
(202) 245-7309
"
"84.187","Supported Employment Services for Individuals with the Most Significant Disabilities","A - Formula Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.126, 84.161","Nov 15, 2024","Nov 15, 2024","true","Suzanne Mitchell
Department of Education, OSERS Rehabilitation Services Administration 400 Maryland Ave., S.W., Washington  DC 20202
(202) 245-7454
"
